pops,epochs,condition,seconds,mb
Shangani-MasaiMara,1,realsfs,3296.4786,130711.32
Shangani-MasaiMara,10,realsfs,5087.0748,130711.61
Shangani-MasaiMara,20,realsfs,6064.3415,130711.57
Shangani-MasaiMara,30,realsfs,8068.2277,130711.25
Shangani-MasaiMara,40,realsfs,10067.0009,130711.52
Shangani-MasaiMara,50,realsfs,10912.5955,130711.36
Shangani-MasaiMara,60,realsfs,13192.6057,130711.16
Shangani-MasaiMara,70,realsfs,14140.2234,130711.57
Shangani-MasaiMara,80,realsfs,15685.8761,130711.62
Shangani-MasaiMara,90,realsfs,17688.5885,130711.68
Shangani-MasaiMara,100,realsfs,19552.8934,130711.47
Shangani-MasaiMara,1,winsfs,1030.0923,101662.89
Shangani-MasaiMara,2,winsfs,1013.3187,101663.4
Shangani-MasaiMara,3,winsfs,1090.3911,101663.25
Shangani-MasaiMara,4,winsfs,1183.1433,101663.31
Shangani-MasaiMara,5,winsfs,1330.525,101663.31
Shangani-MasaiMara,6,winsfs,1409.9281,101663.58
Shangani-MasaiMara,7,winsfs,1389.8299,101663.59
Shangani-MasaiMara,8,winsfs,1449.3799,101663.58
Shangani-MasaiMara,9,winsfs,1464.911,101663.68
Shangani-MasaiMara,10,winsfs,1520.8523,101663.91
Shangani-MasaiMara,1,stream_winsfs,688.508,6.94
Shangani-MasaiMara,2,stream_winsfs,1343.9733,6.95
Shangani-MasaiMara,3,stream_winsfs,2016.1309,7.07
Shangani-MasaiMara,4,stream_winsfs,3426.9681,6.93
Shangani-MasaiMara,5,stream_winsfs,3433.1796,7.14
Shangani-MasaiMara,6,stream_winsfs,4770.3231,6.94
Shangani-MasaiMara,7,stream_winsfs,5439.63,6.99
Shangani-MasaiMara,8,stream_winsfs,6148.3793,6.98
Shangani-MasaiMara,9,stream_winsfs,6790.313,7.08
Shangani-MasaiMara,10,stream_winsfs,6895.5779,6.87
Shangani-MasaiMara,NA,shuffle,1908.7095,9.95
